product_id,product_name,category,sub_category
386,Bush Somerset Collection Bookcase,Furniture,Bookcases
839,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs
1433,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels
366,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables
573,Eldon Fold 'N Roll Cart System,Office Supplies,Storage
570,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings
1129,Newell 322,Office Supplies,Art
1092,Mitel 5320 IP Phone VoIP phone,Technology,Phones
499,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders
302,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances
427,Chromcraft Rectangular Conference Tables,Furniture,Tables
965,Konftel 250 Conference phone - Charcoal black,Technology,Phones
1756,Xerox 1967,Office Supplies,Paper
648,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders
822,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances
1512,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,Binders
1518,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage
660,Fellowes Super Stor/Drawer,Office Supplies,Storage
1150,Newell 341,Office Supplies,Art
436,Cisco SPA 501G IP Phone,Technology,Phones
1633,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,Binders
1124,Newell 318,Office Supplies,Art
78,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Appliances
746,"Global Deluxe Stacking Chair, Gray",Furniture,Chairs
1624,Wilson Jones Active Use Binders,Office Supplies,Binders
914,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Technology,Accessories
1351,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases
265,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders
